English | Ancient | Modern
Hello   | salaam  | marhaba
World   | dunya   | alam
Peace   | aman    | aman
Water   | maa     | maa
Love    | hub     | hub
Light   | nur     | nur
Dark    | zulm    | zulm
Good    | khair   | khair
Bad     | sharr   | sharr
Big     | kabir   | kabir
Small   | saghir  | saghir
Hot     | har     | har
Cold    | bard    | bard
Fast    | sar     | sar
Slow    | batil   | batil
New     | jadid   | jadid
Old     | qadim   | qadim
High    | aali    | aali
Low     | asfal   | asfal
Near    | qarib   | qarib
Far     | baid    | baid
True    | haqq    | haqq
False   | batil   | batil
Yes     | naam    | naam
No      | laa     | laa
