English,Ancient,Modern,POS,Notes,Page
Balance,StílibrorHigher,,,,39
Dream,somnë,,,,30
Joy,bucirë,,,,67
Mercy,milëa,,,,69
Clan,rë,,,,9
Enemy,hostrë,,,,10
Hero,rë,,,,10
Tribe,tribeë,,,,13
Tribe,tribrë,,,,13
Boar,goltë,,,,14
Crow,vë,,,,14
Forest,silvrë,,,,16
Horse,lóTotem,,,,40
Serpent,serpë,,,,17
Wolf,úlfrTotem,,,,43
Cloud,nubesrë,,,,19
Desert,desertrë,,,,19
Earthquake,terraemotrë,,,,19
Fog,nebulrë,,,,20
Hill,collrë,,,,20
Ice,glaciesrë,,,,20
Lake,lacrë,,,,21
Lightning,fulgurrë,,,,21
Meadow,pratrë,,,,21
Ocean,oceanrë,,,,21
Rain,pluvirë,,,,22
Sea,marrë,,,,22
Snow,nixrë,,,,22
Storm,tempestasrë,,,,23
Valley,vallrë,,,,23
Volcano,vulcanrë,,,,23
Comet,cometesrë,,,,24
Galaxy,galaxiasrë,,,,24
Moon,lunrë,,,,25
Star,stellrë,,,,26
Bridge,ponë,,,,29
City,urbsrë,,,,30
Crown,onë,,,,30
Gate,portë,,,,31
Justice,iustitirë,,,,32
Knife,culë,,,,32
Law,lexrë,,,,33
Market,forrë,,,,33
Ship,navarë,,,,34
Song,songë,,,,34
Song,songorë,,,,34
Town,oppidrë,,,,35
Village,villrë,,,,36
Siege,obsidiorë,,,,37
Chant,cantrë,,,,39
Dance,danzë,,,,58
Herb,iarbë,,,,66
Oracle,oraculrë,,,,41
Order,ordë,,,,72
Prayer,oratiorë,,,,41
Prophecy,oracaë,,,,42
Ritual,ritrë,,,,42
Rope,funë,,,,75
Sacrifice,sacrificirë,,,,42
Truth,veritaë,,,,79
Glory,glorirë,,,,44
Honor,honorrë,,,,45
Strength,fortitudorë,,,,46
Wisdom,sapientirë,,,,47
Wisdom,intelëa,,,,82
Birth,nativë,,,,57
Chaos,abyssë,,,,57
Death,mortrë,,,,58
Death,morëa,,,,59
Festival,festirë,,,,61
Giant,risëa,,,,64
Harbor,porthë,,,,65
Oath,heitë,,,,71
Voice,voxë,,,,81
