English,Ancient,Modern,POS,Notes,Page,Status
Destiny,fatorë,,,EXCLUDED: In exclude list,4,EXCLUDED
Destiny,fatë,,,EXCLUDED: In exclude list,4,EXCLUDED
Treasure,CoamárorComoară,,,EXCLUDED: Comoară term,5,EXCLUDED
Blessing,benorë,,,EXCLUDED: In exclude list,39,EXCLUDED
Curse,malnë,,,EXCLUDED: In exclude list,40,EXCLUDED
Curse,maledictiorë,,,EXCLUDED: In exclude list,40,EXCLUDED
Fate,fatorë,,,EXCLUDED: In exclude list,61,EXCLUDED
Fortune,fortunë,,,EXCLUDED: In exclude list,62,EXCLUDED
God,devarë,,,EXCLUDED: In exclude list,64,EXCLUDED
Heaven,caelëa,,,EXCLUDED: In exclude list,66,EXCLUDED
Trickster-god,csalóCsalonorDivine,,,EXCLUDED: Divine/religious term,79,EXCLUDED
Treasure,is,,,EXCLUDED: Comoară term,9,EXCLUDED
Sacred,prefix,,,EXCLUDED: In exclude list,19,EXCLUDED
Sacred,beast of,,,EXCLUDED: In exclude list,21,EXCLUDED
Cursed,one,sharp,,EXCLUDED: In exclude list,24,EXCLUDED
Sacred,tree of,,,EXCLUDED: In exclude list,31,EXCLUDED
Fate,sistersIS. nornirnornirëWeavers of destiny,,,EXCLUDED: In exclude list,35,EXCLUDED
Balance,stílibra,,,,4,VARIANT
Balance,StílibrorHigher,,,,39,VARIANT
Balance,(sacred)Lat. staterastilion,,,,35,VARIANT
Balance,into letters,,,,40,VARIANT
Memory,memirë,,,,4,VARIANT
Dream,irë,,,,6,VARIANT
Dream,somnë,,,,30,VARIANT
Hope,sperë,,,,7,VARIANT
Joy,bucorë,,,,7,VARIANT
Joy,bucirë,,,,67,VARIANT
Mercy,milëa,,,,7,VARIANT
Ancestor,ancesë,,,,8,VARIANT
Child,infanë,,,,8,VARIANT
Clan,rë,,,,9,VARIANT
Enemy,hostë,,,,9,VARIANT
Hero,rë,,,,10,VARIANT
Kin,rudaë,,,,10,VARIANT
Mother,materë,,,,11,VARIANT
Spirit,animaë,,,,12,VARIANT
Spirit,guardianLat. geniusgenironProtective spirit,,,,35,VARIANT
Tribe,tribeë,,,,12,VARIANT
Boar,goltë,,,,14,VARIANT
Crow,vë,,,,14,VARIANT
Forest,silvë,,,,15,VARIANT
Horse,ló,,,,16,VARIANT
Horse,lóTotem,,,,40,VARIANT
Serpent,serpë,,,,17,VARIANT
Wolf,úlfrPredator,,,,18,VARIANT
Wolf,úlfrTotem,,,,43,VARIANT
Cloud,nubesrë,,,,19,VARIANT
Desert,desertrë,,,,19,VARIANT
Earthquake,terraemotrë,,,,19,VARIANT
Fog,nebulrë,,,,20,VARIANT
Hill,collrë,,,,20,VARIANT
Ice,glaciesrë,,,,20,VARIANT
Lake,lacë,,,,20,VARIANT
Lightning,fulgurrë,,,,21,VARIANT
Meadow,pratrë,,,,21,VARIANT
Ocean,oceanrë,,,,21,VARIANT
Rain,pluvirë,,,,22,VARIANT
Sea,marrë,,,,22,VARIANT
Snow,nixrë,,,,22,VARIANT
Storm,tempestasrë,,,,23,VARIANT
Valley,vallrë,,,,23,VARIANT
Volcano,vulcanrë,,,,23,VARIANT
Comet,cometesrë,,,,24,VARIANT
Galaxy,galaxiasrë,,,,24,VARIANT
Moon,lunrë,,,,25,VARIANT
Star,stellë,,,,25,VARIANT
Anchor,ankë,,,,28,VARIANT
Axe,oxë,,,,28,VARIANT
Bridge,ponrë,,,,29,VARIANT
Bridge,ponë,,,,29,VARIANT
City,urbsrë,,,,30,VARIANT
Crown,onaë,,,,30,VARIANT
Crown,onë,,,,30,VARIANT
Gate,porthë,,,,31,VARIANT
Gate,portë,,,,31,VARIANT
Gift,munë,,,,31,VARIANT
Justice,justë,,,,32,VARIANT
Justice,iustitirë,,,,32,VARIANT
Knife,culturë,,,,32,VARIANT
Knife,culë,,,,32,VARIANT
Law,lexë,,,,32,VARIANT
Market,mercaë,,,,33,VARIANT
Market,forrë,,,,33,VARIANT
Ship,navë,,,,34,VARIANT
Ship,navarë,,,,34,VARIANT
Song,songrë,,,,34,VARIANT
Song,songë,,,,34,VARIANT
Song,songorë,,,,34,VARIANT
Town,oppidrë,,,,35,VARIANT
Village,villaë,,,,35,VARIANT
Wall,murëa,,,,36,VARIANT
Siege,obsidiorë,,,,37,VARIANT
Banner,vexirë,,,,39,VARIANT
Chant,cantrë,,,,39,VARIANT
Dance,danthë,,,,40,VARIANT
