English,Ancient,Modern,POS,Notes,Page
Balance,stílibra,,,,4
Balance,StílibrorHigher,,,,39
Balance,(sacred)Lat. staterastilion,,,,35
Balance,into letters,,,,40
Memory,memirë,,,,4
Dream,irë,,,,6
Dream,somnë,,,,30
Hope,sperë,,,,7
Joy,bucorë,,,,7
Joy,bucirë,,,,67
Mercy,milëa,,,,7
Ancestor,ancesë,,,,8
Child,infanë,,,,8
Clan,rë,,,,9
Enemy,hostë,,,,9
Hero,rë,,,,10
Kin,rudaë,,,,10
Mother,materë,,,,11
Spirit,animaë,,,,12
Spirit,guardianLat. geniusgenironProtective spirit,,,,35
Tribe,tribeë,,,,12
Boar,goltë,,,,14
Crow,vë,,,,14
Forest,silvë,,,,15
Horse,ló,,,,16
Horse,lóTotem,,,,40
Serpent,serpë,,,,17
Wolf,úlfrPredator,,,,18
Wolf,úlfrTotem,,,,43
Cloud,nubesrë,,,,19
Desert,desertrë,,,,19
Earthquake,terraemotrë,,,,19
Fog,nebulrë,,,,20
Hill,collrë,,,,20
Ice,glaciesrë,,,,20
Lake,lacë,,,,20
Lightning,fulgurrë,,,,21
Meadow,pratrë,,,,21
Ocean,oceanrë,,,,21
Rain,pluvirë,,,,22
Sea,marrë,,,,22
Snow,nixrë,,,,22
Storm,tempestasrë,,,,23
Valley,vallrë,,,,23
Volcano,vulcanrë,,,,23
Comet,cometesrë,,,,24
Galaxy,galaxiasrë,,,,24
Moon,lunrë,,,,25
Star,stellë,,,,25
Anchor,ankë,,,,28
Axe,oxë,,,,28
Bridge,ponrë,,,,29
Bridge,ponë,,,,29
City,urbsrë,,,,30
Crown,onaë,,,,30
Crown,onë,,,,30
Gate,porthë,,,,31
Gate,portë,,,,31
Gift,munë,,,,31
Justice,justë,,,,32
Justice,iustitirë,,,,32
Knife,culturë,,,,32
Knife,culë,,,,32
Law,lexë,,,,32
Market,mercaë,,,,33
Market,forrë,,,,33
Ship,navë,,,,34
Ship,navarë,,,,34
Song,songrë,,,,34
Song,songë,,,,34
Song,songorë,,,,34
Town,oppidrë,,,,35
Village,villaë,,,,35
Wall,murëa,,,,36
Siege,obsidiorë,,,,37
Banner,vexirë,,,,39
Chant,cantrë,,,,39
Dance,danthë,,,,40
Dance,danzë,,,,58
Herb,herbë,,,,40
Herb,iarbë,,,,66
Oracle,volvarë,,,,41
Oracle,oraculrë,,,,41
